open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,ignore
2025-10-29 06:00:00,113039.09,113348.78,112976.93,113284.2,443.58086,2025-10-29 06:59:59.999,50181954.58159740,124967,250.89162000,28382347.00267220,0
2025-10-29 07:00:00,113284.21,113577.9,113240.01,113577.9,640.61019,2025-10-29 07:59:59.999,72626563.79569350,129280,454.07806000,51479550.70308510,0
2025-10-29 08:00:00,113577.9,113624.12,112956.0,113070.94,507.26681,2025-10-29 08:59:59.999,57454592.33789870,134245,239.45703000,27123270.99904220,0
2025-10-29 09:00:00,113070.94,113105.08,112768.63,112974.44,659.57288,2025-10-29 09:59:59.999,74488830.44478500,121245,301.47245000,34046146.20520600,0
2025-10-29 10:00:00,112974.44,113186.58,112732.91,112870.01,425.8713,2025-10-29 10:59:59.999,48117730.02205870,126736,197.47035000,22311347.17761520,0
2025-10-29 11:00:00,112870.0,113240.72,112741.26,113132.36,378.28227,2025-10-29 11:59:59.999,42773264.73439300,117436,192.08872000,21720635.79020140,0
2025-10-29 12:00:00,113132.35,113325.13,113050.01,113139.13,343.38468,2025-10-29 12:59:59.999,38860768.70503710,87526,176.47592000,19970609.81819840,0
2025-10-29 13:00:00,113139.13,113643.73,112705.0,112873.07,1155.92441,2025-10-29 13:59:59.999,130820658.83377270,246644,554.83298000,62817321.76576130,0
2025-10-29 14:00:00,112873.08,112916.0,112234.74,112488.44,1185.34226,2025-10-29 14:59:59.999,133377636.67924960,260858,547.28313000,61575616.19168860,0
2025-10-29 15:00:00,112488.45,112564.31,111401.5,111509.74,1921.74476,2025-10-29 15:59:59.999,215146574.61598250,314479,824.47589000,92282838.22538180,0
2025-10-29 16:00:00,111509.74,111523.32,110960.0,111106.35,1388.36304,2025-10-29 16:59:59.999,154393642.57839540,286668,701.52383000,78017259.84983520,0
2025-10-29 17:00:00,111106.35,111922.44,111002.23,111883.49,811.18965,2025-10-29 17:59:59.999,90386761.83866690,184249,448.32349000,49972238.66047150,0
2025-10-29 18:00:00,111883.5,112030.23,109200.0,110806.38,4372.18973,2025-10-29 18:59:59.999,483530532.82391310,667692,2144.04772000,237217224.58012330,0
2025-10-29 19:00:00,110806.38,111438.65,110157.03,110640.0,1170.09639,2025-10-29 19:59:59.999,129750614.14631310,356641,588.43253000,65254647.09186960,0
2025-10-29 20:00:00,110640.0,111538.16,110403.28,111433.46,728.51015,2025-10-29 20:59:59.999,80848048.08246070,178023,397.26976000,44096009.58258540,0
2025-10-29 21:00:00,111433.45,111800.0,111368.02,111617.26,405.07841,2025-10-29 21:59:59.999,45198445.62413460,96344,237.89115000,26546941.85528100,0
2025-10-29 22:00:00,111617.26,111618.46,110949.68,111028.2,447.25113,2025-10-29 22:59:59.999,49782298.47674500,112712,179.77045000,20012882.57329830,0
2025-10-29 23:00:00,111028.2,111077.76,109733.22,110021.29,1066.79122,2025-10-29 23:59:59.999,117722935.65410920,177924,400.14897000,44110826.41047610,0
2025-10-30 00:00:00,110021.3,110583.86,109703.43,110559.48,649.59178,2025-10-30 00:59:59.999,71598919.38246450,211420,363.27678000,40055300.19776400,0
2025-10-30 01:00:00,110559.48,110725.64,110257.77,110460.76,575.63954,2025-10-30 01:59:59.999,63620589.05524860,170307,294.76869000,32583525.31293440,0
2025-10-30 02:00:00,110460.75,111011.99,110331.04,110985.92,488.21463,2025-10-30 02:59:59.999,54079934.77308650,171616,270.44757000,29960850.58068350,0
2025-10-30 03:00:00,110985.93,110985.93,110538.68,110751.47,628.73987,2025-10-30 03:59:59.999,69632396.68441230,185683,340.06055000,37659689.74272650,0
2025-10-30 04:00:00,110751.48,110761.43,107925.06,108575.27,3536.96505,2025-10-30 04:59:59.999,385736562.12960480,607361,1451.48587000,158232963.52367550,0
2025-10-30 05:00:00,108575.26,110434.58,108420.0,110248.29,1212.17428,2025-10-30 05:59:59.999,132606255.95999830,344307,654.87682000,71620401.75891850,0
2025-10-30 06:00:00,110248.28,110964.09,109978.01,110768.01,1000.82897,2025-10-30 06:59:59.999,110511148.16608000,263651,546.37092000,60350263.86535350,0
2025-10-30 07:00:00,110768.01,111592.0,110639.25,111366.72,831.79805,2025-10-30 07:59:59.999,92539784.72672030,196200,438.81770000,48819791.37391370,0
2025-10-30 08:00:00,111366.72,111467.01,110681.22,110714.31,1187.21618,2025-10-30 08:59:59.999,131877297.28741680,169182,704.69041000,78298321.44744800,0
2025-10-30 09:00:00,110714.31,110814.0,110125.17,110171.69,659.11121,2025-10-30 09:59:59.999,72756319.41262420,167612,234.14861000,25847826.00771780,0
2025-10-30 10:00:00,110171.68,110231.92,109829.54,110105.75,573.15523,2025-10-30 10:59:59.999,63074933.81755300,148821,257.99195000,28393448.59485810,0
2025-10-30 11:00:00,110105.75,110144.25,109692.3,109717.29,551.05951,2025-10-30 11:59:59.999,60572192.78772970,168960,249.18065000,27391343.68420560,0
2025-10-30 12:00:00,109717.19,109777.93,108280.65,108387.86,1449.48653,2025-10-30 12:59:59.999,157844347.91487120,366926,616.46278000,67119515.96775220,0
2025-10-30 13:00:00,108387.86,108728.54,107400.0,107627.16,2868.53704,2025-10-30 13:59:59.999,310072970.67516360,450817,1104.54598000,119334054.35790620,0
